tanggal,kurs_jisdor
9/1/2021,14284
9/2/2021,14281
9/3/2021,14261
9/6/2021,14239
9/7/2021,14195
9/8/2021,14266
9/9/2021,14272
9/10/2021,14225
9/13/2021,14260
9/14/2021,14257
9/15/2021,14252
9/16/2021,14238
9/17/2021,14233
9/20/2021,14251
9/21/2021,14244
9/22/2021,14249
9/23/2021,14256
9/24/2021,14250
9/27/2021,14258
9/28/2021,14269
9/29/2021,14307
9/30/2021,14321
10/1/2021,14315
10/4/2021,14276
10/5/2021,14260
10/6/2021,14245
10/7/2021,14238
10/8/2021,14225
10/11/2021,14210
10/12/2021,14217
10/13/2021,14221
10/14/2021,14155
10/15/2021,14084
10/18/2021,14096
10/19/2021,14080
10/21/2021,14133
10/22/2021,14162
10/25/2021,14183
10/26/2021,14165
10/27/2021,14184
10/28/2021,14199
10/29/2021,14171
11/1/2021,14235
11/2/2021,14261
11/3/2021,14301
11/4/2021,14327
11/5/2021,14374
11/8/2021,14268
11/9/2021,14233
11/10/2021,14253
11/11/2021,14288
11/12/2021,14243
11/15/2021,14206
11/16/2021,14211
11/17/2021,14259
11/18/2021,14231
11/19/2021,14237
11/22/2021,14255
11/23/2021,14272
11/24/2021,14272
11/25/2021,14280
11/26/2021,14280
11/29/2021,14340
11/30/2021,14320
12/1/2021,14353
12/2/2021,14378
12/3/2021,14408
12/6/2021,14441
12/7/2021,14408
12/8/2021,14348
12/9/2021,14351
12/10/2021,14378
12/13/2021,14346
12/14/2021,14348
12/15/2021,14337
12/16/2021,14343
12/17/2021,14343
12/20/2021,14384
12/21/2021,14349
12/22/2021,14264
12/23/2021,14251
12/24/2021,14219
12/27/2021,14225
12/28/2021,14237
12/29/2021,14265
12/30/2021,14269
12/31/2021,14278
1/3/2022,14270
1/4/2022,14310
1/5/2022,14365
1/6/2022,14396
1/7/2022,14360
1/10/2022,14323
1/11/2022,14299
1/12/2022,14302
1/13/2022,14311
1/14/2022,14310
1/17/2022,14323
1/18/2022,14325
1/19/2022,14370
1/20/2022,14354
1/21/2022,14347
1/24/2022,14327
1/25/2022,14358
1/26/2022,14346
1/27/2022,14385
1/28/2022,14381
1/31/2022,14392
2/2/2022,14347
2/3/2022,14381
2/4/2022,14376
2/7/2022,14404
2/8/2022,14385
2/9/2022,14366
2/10/2022,14344
2/11/2022,14359
2/14/2022,14338
2/15/2022,14292
2/16/2022,14278
2/17/2022,14301
2/18/2022,14339
2/21/2022,14329
2/22/2022,14362
2/23/2022,14355
2/24/2022,14371
2/25/2022,14369
3/1/2022,14350
3/2/2022,14373
3/4/2022,14383
3/7/2022,14411
3/8/2022,14394
3/9/2022,14371
3/10/2022,14298
3/11/2022,14306
3/14/2022,14328
3/15/2022,14321
3/16/2022,14311
3/17/2022,14290
3/18/2022,14340
3/21/2022,14341
3/22/2022,14358
3/23/2022,14351
3/24/2022,14361
3/25/2022,14341
3/28/2022,14360
3/29/2022,14364
3/30/2022,14349
3/31/2022,14357
4/1/2022,14364
4/4/2022,14362
4/5/2022,14348
4/6/2022,14364
4/7/2022,14359
4/8/2022,14365
4/11/2022,14370
4/12/2022,14364
4/13/2022,14359
4/14/2022,14349
4/18/2022,14356
4/19/2022,14347
4/20/2022,14351
4/21/2022,14348
4/22/2022,14361
4/25/2022,14452
4/26/2022,14412
4/27/2022,14418
4/28/2022,14480
5/9/2022,14534
5/10/2022,14546
5/11/2022,14546
5/12/2022,14585
5/13/2022,14619
5/17/2022,14651
5/18/2022,14682
5/19/2022,14731
5/20/2022,14661
5/23/2022,14665
5/24/2022,14653
5/25/2022,14645
5/27/2022,14578
5/30/2022,14544
5/31/2022,14592
6/2/2022,14526
6/3/2022,14431
6/6/2022,14462
6/7/2022,14464
6/8/2022,14477
6/9/2022,14555
6/10/2022,14569
6/13/2022,14672
6/14/2022,14729
6/15/2022,14746
6/16/2022,14741
6/17/2022,14828
6/20/2022,14836
6/21/2022,14804
6/22/2022,14860
6/23/2022,14835
6/24/2022,14846
6/27/2022,14802
6/28/2022,14837
6/29/2022,14848
6/30/2022,14882
7/1/2022,14956
7/4/2022,14960
7/5/2022,14990
7/6/2022,15015
7/7/2022,14986
7/8/2022,14981
7/11/2022,14969
7/12/2022,14993
7/13/2022,14985
7/14/2022,14999
7/15/2022,14999
7/18/2022,14986
7/19/2022,14992
7/20/2022,14984
7/21/2022,15017
7/22/2022,15024
7/25/2022,14992
7/26/2022,14984
7/27/2022,15020
7/28/2022,14958
7/29/2022,14860
8/1/2022,14874
8/2/2022,14888
8/3/2022,14917
8/4/2022,14929
8/5/2022,14904
8/8/2022,14915
8/9/2022,14862
8/10/2022,14875
8/11/2022,14799
8/12/2022,14688
8/15/2022,14727
8/16/2022,14767
8/18/2022,14822
8/19/2022,14858
8/22/2022,14882
8/23/2022,14893
8/24/2022,14851
8/25/2022,14827
8/26/2022,14814
8/29/2022,14887
8/30/2022,14875
8/31/2022,14853
9/1/2022,14884
9/2/2022,14900
9/5/2022,14920
9/6/2022,14885
9/7/2022,14927
9/8/2022,14905
9/9/2022,14846
9/12/2022,14839
9/13/2022,14861
9/14/2022,14923
9/15/2022,14899
9/16/2022,14939
9/19/2022,14980
9/20/2022,14975
9/21/2022,15011
9/22/2022,15033
9/23/2022,15035
9/26/2022,15119
9/27/2022,15155
9/28/2022,15243
9/29/2022,15247
9/30/2022,15232
10/3/2022,15293
10/4/2022,15276
10/5/2022,15196
10/6/2022,15197
10/7/2022,15246
10/10/2022,15299
10/11/2022,15362
10/12/2022,15373
10/13/2022,15357
10/14/2022,15390
10/17/2022,15480
10/18/2022,15469
10/19/2022,15491
10/20/2022,15579
10/21/2022,15610
10/24/2022,15590
10/25/2022,15616
10/26/2022,15596
10/27/2022,15573
10/28/2022,15542
10/31/2022,15596
11/1/2022,15647
11/2/2022,15652
11/3/2022,15681
11/4/2022,15736
11/7/2022,15692
11/8/2022,15684
11/9/2022,15654
11/10/2022,15701
11/11/2022,15493
11/14/2022,15499
11/15/2022,15564
11/16/2022,15610
11/17/2022,15687
11/18/2022,15692
11/21/2022,15707
11/22/2022,15716
11/23/2022,15700
11/24/2022,15647
11/25/2022,15668
11/28/2022,15729
11/29/2022,15737
11/30/2022,15742
12/1/2022,15617
12/2/2022,15429
12/5/2022,15409
12/6/2022,15576
12/7/2022,15619
12/8/2022,15624
12/9/2022,15587
12/12/2022,15642
12/13/2022,15661
12/14/2022,15619
12/15/2022,15630
12/16/2022,15617
12/19/2022,15621
12/20/2022,15608
12/21/2022,15601
12/22/2022,15594
